"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227075","221194","5878","3"
"12","Nashik","472911","463983","8911","17"
"13","Ahmednagar","377743","370486","7242","15"
"14","Jalgaon","149535","146770","2761","4"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50757","50087","670","0"
"17","Aurangabad","176548","172261","4284","3"
"18","Jalna","66332","65106","1224","2"
"19","Beed","109213","106322","2884","7"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58572","57293","1279","0"
"22","Hingoli","22176","21661","514","1"
"23","Nanded","102673","99968","2704","1"
"24","Osmanabad","75164","73022","2139","3"
"25","Amravati","105964","104338","1624","2"
"26","Akola","66183","64713","1470","0"
"27","Washim","45641","44993","641","7"
"28","Buldhana","92021","91185","836","0"
"29","Yavatmal","81982","80161","1820","1"
"30","Nagpur","576467","567229","9215","23"
"31","Wardha","65678","64267","1408","3"
"32","Bhandara","67946","66802","1142","2"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98847","97243","1592","12"
