"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","639155","1","37842","0","410","1","37416","16"
"2","ALWAR","1279270","1","59736","0","307","2","59407","22"
"3","BANSWARA","239883","0","10005","0","104","0","9901","0"
"4","BARAN","168493","0","11997","0","61","0","11936","0"
"5","BARMER","335951","0","15580","0","185","0","15387","8"
"6","BHARATPUR","388107","0","19604","0","260","0","19341","3"
"7","BHILWARA","404096","0","29783","0","156","0","29626","1"
"8","BIKANER","604727","1","40387","0","546","4","39819","22"
"9","BUNDI","180743","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","368351","0","19809","0","139","0","19670","0"
"11","CHURU","325677","0","16721","0","107","0","16614","0"
"12","DAUSA","216032","0","13354","0","62","0","13291","1"
"13","DHOLPUR","229018","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","256515","0","18412","0","131","0","18276","5"
"15","GANGANAGAR","342630","0","19357","0","150","0","19205","2"
"16","HANUMANGARH","391492","3","16066","0","111","0","15943","12"
"17","JAIPUR","2583920","8","188125","0","1971","5","186023","131"
"18","JAISALMER","209167","0","13646","0","66","0","13578","2"
"19","JALORE","382260","0","10067","0","72","0","9995","0"
"20","JHALAWAR","293634","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","385233","1","14819","0","158","0","14654","7"
"22","JODHPUR","1171492","0","112429","0","1103","2","111318","8"
"23","KARAULI","175551","0","7156","0","70","0","7086","0"
