"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1519941","20510405"
"2","Total No. of patients tested Positive","22147","782675"
"3","No. of patients discharged","20502","760776"
"4","Total Deaths reported","167","20473"
"5","Sample collected on the day","","11114"
"6","Test conducted on the day","","10766"
"7","Positive cases on the day","","120"
"8","Number of active Cases","","1426"
"9","No. of Patients on oxygen support","","75"
"10","Patients at critical care Level-3 facilities","","17"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218853"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117852"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211780"
"18","Frontline Workers vaccinated with 2nd dose on the day","","3"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018604"
"20","Above 45 Vaccinated with 1st dose on the day","","25"
"21","Total Above 45 Vaccinated with 1st dose","","8343380"
"22","Above 45 Vaccinated with 2nd dose on the day","","195"
"23","Total Above 45 Vaccinated with 2nd dose","","7634047"
"24","18-44 years age group Vaccinated with 1st dose on the day","","96"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12649640"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","515"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10646938"
"28","15-17 years age group Vaccinated with 1st dose on the day","","25"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1110332"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","80"
"31","Total 15-17 years age group Vaccinated with 2nddose","","847631"
"32","12-14 years age group Vaccinated with 1st dose on the day","","88"
"33","Total 12-14 years age group Vaccinated with 1st dose","","662551"
"34","12-14 years age group Vaccinated with 2nddose on the day","","137"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","456523"
"36","Precautionary dose given on the day","","1330"
"37","Total Precautionary dose given","","1536586"
"38","Total Vaccination 1st dose on the day","","122"
"39","Total Vaccination 2nd dose on the day","","715"
"40","Total Vaccination 1st and 2nd dose on the day","","837"
