"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","795668","9","49999","0","447","1","49478","74"
"2","ALWAR","1626940","8","84901","0","321","6","84554","26"
"3","BANSWARA","322060","0","14781","0","106","0","14669","6"
"4","BARAN","241622","1","15313","0","64","0","15247","2"
"5","BARMER","405755","3","21470","0","205","0","21252","13"
"6","BHARATPUR","476377","0","31452","0","272","0","31180","0"
"7","BHILWARA","509883","0","38263","0","162","1","38074","27"
"8","BIKANER","757751","11","50325","0","589","19","49633","103"
"9","BUNDI","236702","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454480","2","29435","0","140","2","29282","13"
"11","CHURU","437308","3","20945","0","115","5","20809","21"
"12","DAUSA","296941","3","15885","0","82","2","15796","7"
"13","DHOLPUR","289269","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328063","2","25504","0","134","0","25365","5"
"15","GANGANAGAR","423414","1","28181","0","158","0","28013","10"
"16","HANUMANGARH","489377","0","22530","0","115","0","22411","4"
"17","JAIPUR","3474639","77","277490","0","2114","56","275010","366"
"18","JAISALMER","242963","0","17036","0","68","0","16968","0"
"19","JALORE","448384","4","10574","0","78","3","10485","11"
"20","JHALAWAR","413109","0","17765","0","207","0","17556","2"
"21","JHUNJHUNU","494010","0","19161","0","181","0","18980","0"
"22","JODHPUR","1433708","28","141482","0","1164","10","140187","131"
"23","KARAULI","242845","0","8969","0","85","0","8884","0"
