"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","788982","1","49789","0","447","5","49321","21"
"2","ALWAR","1612855","7","84684","0","320","5","84304","60"
"3","BANSWARA","318934","0","14767","0","106","0","14659","2"
"4","BARAN","237459","3","15302","0","64","0","15224","14"
"5","BARMER","403951","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476289","0","31451","0","272","0","31179","0"
"7","BHILWARA","507661","0","38189","0","162","0","38021","6"
"8","BIKANER","744793","4","49954","0","586","5","49356","12"
"9","BUNDI","234781","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452445","0","29391","0","140","0","29243","8"
"11","CHURU","434788","0","20855","0","115","2","20726","14"
"12","DAUSA","292757","0","15825","0","81","0","15732","12"
"13","DHOLPUR","285918","0","13962","0","49","4","13901","12"
"14","DUNGARPUR","327799","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422815","0","28150","0","158","1","27991","1"
"16","HANUMANGARH","488689","0","22518","0","114","0","22404","0"
"17","JAIPUR","3429374","37","276150","0","2113","31","273759","278"
"18","JAISALMER","242545","0","17036","0","68","0","16968","0"
"19","JALORE","445625","0","10548","0","78","0","10468","2"
"20","JHALAWAR","398971","2","17741","0","207","4","17525","9"
"21","JHUNJHUNU","492823","0","19159","0","181","0","18977","1"
"22","JODHPUR","1423757","1","141143","0","1164","0","139958","21"
"23","KARAULI","239466","0","8968","0","84","0","8884","0"
