"1","Total Samples taken","19100380"
"2","Sample collected on the day","9678"
"3","Test conducted on the day","7127"
"4","Total No. of patients tested Positive","759219"
"5","No. of patients discharged","741419"
"6","Positive cases on the day","9"
"7","Number of active Cases","57"
"8","Total Deaths reported","17743"
"9","No. of Patients on oxygen support","4"
"10","Patients at critical care Level-3 facilities","0"
"11","Patients who are critical and on ventilator support","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","4"
"13","Total Healthcare Workers vaccinated with 1st dose","218503"
"14","Frontline Workers vaccinated with 1st dose on the day","8"
"15","Total Frontline Workers vaccinated with 1st dose","1116887"
"16","Healthcare Workers vaccinated with 2nd dose on the day","24"
"17","Total Healthcare Workers vaccinated with 2nd dose","208965"
"18","Frontline Workers vaccinated with 2nd dose on the day","85"
"19","Total Frontline Workers vaccinated with 2nd dose","1007862"
"20","Above 45 Vaccinated with 1st dose on the day","664"
"21","Total Above 45 Vaccinated with 1st dose","8270345"
"22","Above 45 Vaccinated with 2nd dose on the day","9006"
"23","Total Above 45 Vaccinated with 2nd dose","6840780"
"24","18-44 years age group Vaccinated with 1st dose on the day","2788"
"25","Total 18-44 years age group Vaccinated with 1st dose","12431322"
"26","18-44 years age group Vaccinated with 2nd dose on the day","20012"
"27","Total 18-44 years age group Vaccinated with 2nd dose","8979343"
"28","15-17 years age group Vaccinated with 1st dose on the day","3076"
"29","Total 15-17 years age group Vaccinated with 1st dose","991061"
"30","15-17 years age group Vaccinated with 2nd dose on the day","5782"
"31","Total 15-17 years age group Vaccinated with 2nddose","519363"
"32","12-14 years age group Vaccinated with 1st dose on the day","8427"
"33","Total 12-14 years age group Vaccinated with 1st dose","347596"
"34","Precautionary dose given on the day","4127"
"35","Total Precautionary dose given","471788"
"36","Total Vaccination 1st dose on the day","3464"
"37","Total Vaccination 2nd dose on the day","29127"
"38","Total Vaccination 1st and 2nd dose on the day","32591"
