"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","779504","0","49712","0","446","0","49260","6"
"2","ALWAR","1579289","0","84453","0","320","0","84125","8"
"3","BANSWARA","310938","0","14762","0","106","2","14655","1"
"4","BARAN","228802","0","15247","0","64","0","15181","2"
"5","BARMER","400403","0","21454","0","205","0","21247","2"
"6","BHARATPUR","476032","0","31450","0","272","0","31177","1"
"7","BHILWARA","502651","0","38176","0","162","0","38014","0"
"8","BIKANER","727967","3","49893","0","586","0","49298","9"
"9","BUNDI","228511","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","448193","0","29374","0","140","7","29231","3"
"11","CHURU","429347","0","20819","0","114","1","20702","3"
"12","DAUSA","285866","0","15773","0","80","0","15693","0"
"13","DHOLPUR","275729","0","13748","0","49","0","13699","0"
"14","DUNGARPUR","326840","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","420337","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","486108","0","22516","0","114","1","22400","2"
"17","JAIPUR","3336295","5","274391","0","2111","17","272216","64"
"18","JAISALMER","241305","0","17036","0","68","0","16968","0"
"19","JALORE","440730","0","10545","0","78","0","10467","0"
"20","JHALAWAR","378150","0","17707","0","207","0","17499","1"
"21","JHUNJHUNU","489395","0","19158","0","181","0","18977","0"
"22","JODHPUR","1401416","0","141067","0","1164","1","139884","19"
"23","KARAULI","235951","0","8968","0","84","0","8884","0"
