,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Bagalkote,0,0,0,,1249,3852,0,0.0,3.0,0.0,0.0,,13109.0,73987.0,0,1890826,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,35184.0,333.0,34845.0,,1271489,845008,0,0.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
1,1,1,1,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Ballari,1,0,0,,5892,11970,0,6.0,9.0,0.0,6.0,,75907.0,113066.0,0,2532383,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,97799.0,1686.0,96004.0,,1943199,1171890,0,0.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
2,2,2,2,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Belagavi,2,0,2,,13969,62027,0,13.0,20.0,1.0,11.0,,58508.0,277286.0,0,4778439,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,79996.0,944.0,78980.0,,3423792,2187219,0,0.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
3,3,3,3,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Bengaluru Rural,5,0,1,,2587,9627,0,22.0,21.0,0.0,11.0,,14045.0,63226.0,0,987257,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,62103.0,890.0,61172.0,,730905,541146,0,0.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
4,4,4,4,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Bengaluru Urban,212,2,185,,18204,61189,0,1117.0,1200.0,15.0,1371.0,,90971.0,396091.0,0,9588910,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,1257035.0,16342.0,1235643.0,,9422545,6989410,0,1.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
5,5,5,5,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Bidar,0,0,0,,14149,7304,0,1.0,4.0,1.0,1.0,,73561.0,65409.0,0,1700018,,,4.0 cases were recorded as Deaths due to Non Covid Reasons,24348.0,402.0,23940.0,,1044147,706888,0,4.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
6,6,6,6,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Chamarajanagara,3,0,4,,4169,4669,0,16.0,39.0,0.0,22.0,,20205.0,47645.0,0,1020962,,,11.0 cases were recorded as Deaths due to Non Covid Reasons,33087.0,503.0,32528.0,,680373,497315,0,11.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
7,7,7,7,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Chikkaballapura,1,0,1,,8866,5013,0,6.0,3.0,0.0,3.0,,41662.0,46413.0,0,1254377,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,43976.0,431.0,43538.0,,904956,617107,0,1.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
8,8,8,8,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Chikkamagaluru,2,0,2,,986,4855,0,17.0,13.0,0.0,23.0,,8233.0,51805.0,0,1137753,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,51218.0,396.0,50783.0,,757127,488009,0,0.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
9,9,9,9,2021-12-03,KA,413.0,4.0,256.0,105879,171287,388002,0,1770.0,2283.0,27.0,1971.0,605055.0,1201609.0,2751503.0,0.0,Chitradurga,2,0,3,,4617,4275,0,8.0,16.0,1.0,18.0,,31343.0,42105.0,0,1660378,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,36735.0,209.0,36484.0,,1168404,798822,0,0.0,2022-01-22T01:25:47.036116+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2997246.0,38220.0,2952101.0,53603765.0,45417165,31078730,0,29.0,0.0,0.0
