"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,056"
"2","Number of persons tested positive today in Tamil Nadu","481"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh-1"
"","Total","482"
"3","Total Number of persons tested positive till date","35,69,624@"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","19,135/ 
6,89,42,716@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,962/ 
6,77,28,867"
"6","No. of Male / Female / Transgender tested positive today","288/194/0"
"7","No. of Male / Female / Transgender tested positive till date","20,81,693/14,87,893/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","518/ 
35,26,532"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,036"
