"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22980","","5281","","28261",""
"2","Total Active Cases","03 
(0.01%)","","00 
(0%)","","03 
(0.01%)",""
"3","Total Cured/Discharged","22809 
(99.3%)","","5221 
(98.9%)","","28030 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","0","","01",""
"6","Total Positive cases in Home Isolation","02","","00","","02",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","116","","31","","147",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","114","","31","","145",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","61 
25 
11 
14 
111"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(25/05/2022)","","Test Done Today 
(26/05/2022)","","Cumulative"
"","","a)RTPCR","322080","","102","","322182"
"","","b)TRUENAT","13979","","13","","13992"
"","","c)RAT","349131","","32","","349163"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","686295","","147","","686442"
