"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","445","2","0","8","34"
"2","ALWAR","1127","5","0","10","21"
"3","BANSWARA","76","0","0","0","0"
"4","BARAN","225","0","1","0","3"
"5","BARMER","47","0","0","0","0"
"6","BHARATPUR","34","0","0","0","1"
"7","BHILWARA","179","0","0","3","1"
"8","BIKANER","422","1","0","6","6"
"9","BUNDI","74","1","0","0","3"
"10","CHITTORGARH","143","3","0","3","9"
"11","CHURU","69","0","0","0","0"
"12","DAUSA","372","0","0","0","4"
"13","DHOLPUR","104","0","0","0","0"
"14","DUNGARPUR","206","0","0","0","2"
"15","GANGANAGAR","111","0","0","0","2"
"16","HANUMANGARH","166","0","0","0","0"
"17","JAIPUR","1173","7","0","6","70"
"18","JAISALMER","24","0","0","0","0"
"19","JALORE","84","2","0","0","5"
"20","JHALAWAR","343","0","0","0","1"
"21","JHUNJHUNU","444","0","0","0","0"
"22","JODHPUR","251","2","0","2","24"
"23","KARAULI","374","0","0","0","1"
"24","KOTA","1000","10","0","9","31"
"25","NAGAUR","331","0","0","0","3"
"26","PALI","422","0","0","0","11"
