"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"12","Nashik","475976","466480","8915","581"
"13","Ahmednagar","379361","371631","7245","485"
"14","Jalgaon","150028","147213","2762","53"
"15","Nandurbar","46791","45785","963","43"
"16","Dhule","51197","50403","670","124"
"17","Aurangabad","178080","173492","4288","300"
"18","Jalna","67218","65882","1224","112"
"19","Beed","109499","106558","2885","56"
"20","Latur","105659","102983","2489","187"
"21","Parbhani","58683","57371","1279","33"
"22","Hingoli","22371","21799","515","57"
"23","Nanded","102967","100219","2704","44"
"24","Osmanabad","75899","73529","2139","231"
"25","Amravati","106517","104784","1625","108"
"26","Akola","66752","65182","1473","97"
"27","Washim","46958","46121","641","196"
"28","Buldhana","92705","91716","838","151"
"29","Yavatmal","82404","80475","1820","109"
"30","Nagpur","582157","571298","9215","1644"
"31","Wardha","66049","64553","1409","87"
"32","Bhandara","68803","67411","1142","250"
"33","Gondia","45635","44970","587","78"
"34","Chandrapur","99344","97636","1595","113"
"35","Gadchiroli","37225","36448","728","49"
