"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","49","0","0","2","37"
"2","ALWAR","76","1","0","1","32"
"3","BANSWARA","26","0","0","1","1"
"4","BARAN","37","0","0","0","3"
"5","BARMER","17","0","0","0","0"
"6","BHARATPUR","11","0","0","0","0"
"7","BHILWARA","59","0","0","0","3"
"8","BIKANER","128","0","1","0","12"
"9","BUNDI","1","0","0","0","5"
"10","CHITTORGARH","23","0","0","0","9"
"11","CHURU","4","0","0","0","0"
"12","DAUSA","56","0","0","0","5"
"13","DHOLPUR","4","0","0","0","0"
"14","DUNGARPUR","5","0","0","0","1"
"15","GANGANAGAR","3","1","0","1","2"
"16","HANUMANGARH","15","0","0","0","0"
"17","JAIPUR","781","3","0","6","70"
"18","JAISALMER","0","0","0","0","0"
"19","JALORE","36","0","0","0","1"
"20","JHALAWAR","22","0","0","2","0"
"21","JHUNJHUNU","57","0","0","0","0"
"22","JODHPUR","111","2","0","3","30"
"23","KARAULI","20","0","0","0","1"
"24","KOTA","534","3","0","7","42"
"25","NAGAUR","146","2","0","1","5"
"26","PALI","52","0","0","0","6"
