"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","767975","4","49686","0","446","6","49203","37"
"2","ALWAR","1540276","12","84383","0","320","0","84031","32"
"3","BANSWARA","301874","1","14717","0","106","17","14572","39"
"4","BARAN","221561","0","15236","0","64","9","15156","16"
"5","BARMER","397017","0","21449","0","205","1","21216","28"
"6","BHARATPUR","468137","2","31397","0","272","1","31111","14"
"7","BHILWARA","493860","1","38170","0","162","1","37998","10"
"8","BIKANER","714841","3","49860","0","584","6","49219","57"
"9","BUNDI","223688","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","445028","0","29361","0","140","22","29202","19"
"11","CHURU","415445","6","20786","0","114","12","20609","63"
"12","DAUSA","277191","0","15768","0","80","3","15682","6"
"13","DHOLPUR","271814","1","13745","0","49","2","13682","14"
"14","DUNGARPUR","325181","0","25497","0","134","0","25360","3"
"15","GANGANAGAR","414239","2","28113","0","158","45","27907","48"
"16","HANUMANGARH","476941","8","22455","0","114","32","22291","50"
"17","JAIPUR","3244812","62","273793","0","2109","693","270945","739"
"18","JAISALMER","239940","0","17036","0","68","12","16957","11"
"19","JALORE","436594","1","10537","0","78","13","10446","13"
"20","JHALAWAR","364611","1","17691","0","207","3","17476","8"
"21","JHUNJHUNU","477807","1","19154","0","181","16","18949","24"
"22","JODHPUR","1374844","21","140885","0","1163","19","139617","105"
"23","KARAULI","230626","0","8963","0","84","5","8875","4"
