"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","19897","","3988","","23885",""
"2","Total Active Cases","848 
(4.3%)","","172 
(4.3%)","","1020 
(4.3%)",""
"3","Total Cured/ Discharged","18885 
(94.9%)","","3758                                  
(94.2%)","","(94.8%)",""
"4","Total Died","164 
(0.82%)","","58 
(1.5%)","","222 
(0.93%)",""
"5","Total Positive cases admitted in COVID 
Hospital","25","","05","","30",""
"6","Total Positive cases in Home Isolation","684","","167","","851",""
"7","COVID Care Centre","98","","0","","98",""
"8","Facility Isolation","41","","0","","41",""
"9","No. of Samples Tested (Today)","772","","394","","1166",""
"10","No. of Samples Positive (Today)","158","","27","","185",""
"11","No. of Samples Negative (Today)","611","","367","","978",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","342 
          00 
      00 
           68 
          410"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(18/01/2022)","","Test Done Today 
(19/01/2022)","","Cumulative"
"","","a)  RTPCR","266095","","1097","","267192"
"","","b)  TRUENAT","11415","","02","","11417"
"","","c)  RAT","341542","","54","","341596"
"","","d)  CBNAAT","234","","13","","247"
"","","TOTAL","619286","","1166","","620452"
