"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","467"
"2","Number of persons tested positive today in Tamil Nadu","37"
"3","Total Number of persons tested positive till date","34,54,095"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,830/ 
6,62,32,074@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,811/ 
6,50,55,201"
"6","No. of Male / Female / Transgender tested positive today","24/13/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,854/14,38,203/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","58/ 
34,15,603"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
