"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","11,850"
"2","Number of persons tested positive today in Tamil Nadu","1,039"
"3","Total Number of persons tested positive till date","27,00,593"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,23,084/ 
5,09,11,486@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,22,674/ 
4,99,88,928"
"6","No. of Male / Female / Transgender tested positive today","575/464/0"
"7","No. of Male / Female / Transgender tested positive till date","15,76,095/11,24,460/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","306 (69 Govt+ 
237 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,229/ 
26,52,660"
"10","Total number of deaths today/ till date","11(5 Private &  
6 Govt) /36,083)"
