"S. No","Subject","Number"
"1","Total Number of people vaccinated on 20th Jan","5,88,175"
"2","First Dose on 20th Jan","1,31,007"
"3","Second Dose on 20th Jan","4,05,093"
"4","Precaution Dose on 20th Jan","52,075"
"5","Cumulative Vaccination till 20th Jan","11,52,08,604"
"6","Cumulative Vaccination First Dose","6,83,01,239"
"7","Cumulative Vaccination Second Dose","4,64,84,297"
"8","Cumulative Precaution Dose","4,23,068"
"9","Number of CVC (Common Vaccination Centres)","4,993"
"10","Cumulative AEFI cases reported","6,636"
"11","Vaccine wastage","-7%"
