"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","531","1063","7869"
"Kollam","410","668","2181"
"Pathanamthitta","222","519","2271"
"Alappuzha","224","634","3667"
"Kottayam","414","1278","6208"
"Idukki","186","838","4359"
"Ernakulam","647","1555","11880"
"Thrissur","333","1112","5321"
"Palakkad","151","459","2161"
"Malappuram","222","894","3508"
"Kozhikode","353","825","4720"
"Wayanad","104","461","2346"
"Kannur","179","562","1778"
"Kasaragod","93","158","663"
"Total","4069","11026","58932"
