"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","16,504"
"2","Number of persons tested positive today in Tamil Nadu","2,092"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","2,093"
"3","Total Number of persons tested positive till date","35,26,351"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","34,662/ 
6,78,21,272@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","33,899/ 
6,66,25,662"
"6","No. of Male / Female / Transgender tested positive today","1,232/861/0"
"7","No. of Male / Female / Transgender tested positive till date","20,55,918/14,70,395/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","340 (72 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,290/ 
34,71,816"
"10","Total number of deaths today/ till date","1 (0 Private &  
1 Govt) /38,031"
