"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","612120","1","37780","0","410","0","37360","10"
"2","ALWAR","1217122","1","59696","0","307","1","59388","1"
"3","BANSWARA","222114","0","10005","0","104","0","9901","0"
"4","BARAN","154151","0","11996","0","61","0","11935","0"
"5","BARMER","325963","0","15568","0","185","0","15378","5"
"6","BHARATPUR","380693","0","19601","0","260","0","19341","0"
"7","BHILWARA","383724","0","29782","0","156","0","29625","1"
"8","BIKANER","588439","0","40347","0","545","7","39802","0"
"9","BUNDI","171339","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","353248","0","19809","0","139","0","19670","0"
"11","CHURU","311683","0","16720","0","107","0","16613","0"
"12","DAUSA","204839","0","13351","0","62","0","13289","0"
"13","DHOLPUR","221490","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","242799","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","327382","0","19355","0","150","1","19205","0"
"16","HANUMANGARH","365520","0","16053","0","111","0","15942","0"
"17","JAIPUR","2497520","1","187862","0","1970","0","185838","54"
"18","JAISALMER","202804","0","13639","0","66","0","13573","0"
"19","JALORE","369936","0","10067","0","72","0","9995","0"
"20","JHALAWAR","273005","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","363291","0","14811","0","158","0","14653","0"
"22","JODHPUR","1146896","0","112415","0","1103","1","111310","2"
"23","KARAULI","166804","0","7156","0","70","0","7086","0"
