"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1814935","20805399"
"2","Total No. of patients tested Positive","24224","784752"
"3","No. of patients discharged","23827","764101"
"4","Total Deaths reported","203","20508"
"5","Sample collected on the day","","7288"
"6","Test conducted on the day","","6849"
"7","Positive cases on the day","","31"
"8","Number of active Cases","","143"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117942"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211965"
"18","Frontline Workers vaccinated with 2nd dose on the day","","5"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019276"
"20","Above 45 Vaccinated with 1st dose on the day","","33"
"21","Total Above 45 Vaccinated with 1st dose","","8346672"
"22","Above 45 Vaccinated with 2nd dose on the day","","180"
"23","Total Above 45 Vaccinated with 2nd dose","","7651742"
"24","18-44 years age group Vaccinated with 1st dose on the day","","152"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12661464"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","510"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10696735"
"28","15-17 years age group Vaccinated with 1st dose on the day","","60"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114578"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","237"
"31","Total 15-17 years age group Vaccinated with 2nddose","","862127"
"32","12-14 years age group Vaccinated with 1st dose on the day","","243"
"33","Total 12-14 years age group Vaccinated with 1st dose","","677762"
"34","12-14 years age group Vaccinated with 2nddose on the day","","496"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","484903"
"36","Precautionary dose given on the day","","3266"
"37","Total Precautionary dose given","","1776618"
"38","Total Vaccination 1st dose on the day","","186"
"39","Total Vaccination 2nd dose on the day","","697"
"40","Total Vaccination 1st and 2nd dose on the day","","883"
