"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1802114","20792578"
"2","Total No. of patients tested Positive","24161","784689"
"3","No. of patients discharged","23769","764043"
"4","Total Deaths reported","203","20508"
"5","Sample collected on the day","","4254"
"6","Test conducted on the day","","3993"
"7","Positive cases on the day","","22"
"8","Number of active Cases","","138"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117940"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211961"
"18","Frontline Workers vaccinated with 2nd dose on the day","","12"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019262"
"20","Above 45 Vaccinated with 1st dose on the day","","41"
"21","Total Above 45 Vaccinated with 1st dose","","8346574"
"22","Above 45 Vaccinated with 2nd dose on the day","","126"
"23","Total Above 45 Vaccinated with 2nd dose","","7651300"
"24","18-44 years age group Vaccinated with 1st dose on the day","","174"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12661087"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","520"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10695314"
"28","15-17 years age group Vaccinated with 1st dose on the day","","49"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114426"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","172"
"31","Total 15-17 years age group Vaccinated with 2nddose","","861440"
"32","12-14 years age group Vaccinated with 1st dose on the day","","247"
"33","Total 12-14 years age group Vaccinated with 1st dose","","677060"
"34","12-14 years age group Vaccinated with 2nddose on the day","","362"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","483149"
"36","Precautionary dose given on the day","","2916"
"37","Total Precautionary dose given","","1769502"
"38","Total Vaccination 1st dose on the day","","215"
"39","Total Vaccination 2nd dose on the day","","660"
"40","Total Vaccination 1st and 2nd dose on the day","","875"
