"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24049","","5338","","29387",""
"2","Total Active Cases","10 
(0.04%)","","00 
(0%)","","10 
(0.03%)",""
"3","Total Cured/Discharged","23868 
(99.25%)","","5278 
(98.9%)","","29146 
(99.17%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","07","","00","","07",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","90","","06","","96",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","89","","06","","95",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","50 
00 
00 
00 
50"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(25/10/2022)","","Test Done Today 
(26/10/2022)","","Cumulative"
"","","a)RTPCR","341011","","49","","341060"
"","","b)TRUENAT","15555","","09","","15564"
"","","c)RAT","364260","","38","","364298"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","722051","","96","","722147"
