"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22962","","5280","","28242",""
"2","Total Active Cases","03 
(0.01%)","","00 
(0%)","","03 
(0.01%)",""
"3","Total Cured/Discharged","22791 
(99.3%)","","5220 
(98.9%)","","28011 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","01","","00","","01",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","136","","06","","142",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","135","","06","","141",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","62 
00 
00 
20 
82"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(20/04/2022)","","Test Done Today 
(21/04/2022)","","Cumulative"
"","","a)RTPCR","318878","","104","","318982"
"","","b)TRUENAT","13400","","24","","13424"
"","","c)RAT","348035","","14","","348049"
"","","d)  CBNAAT","1079","","00","","1079"
"","","TOTAL","681392","","142","","681534"
