"S. No","Subject","Number"
"1","Total Number of people vaccinated on 10th Feb","5,27,513"
"2","First Dose on 10th Feb","37,917"
"3","Second Dose on 10th Feb","4,40,651"
"4","Precaution Dose on 10th Feb","48,945"
"5","Cumulative Vaccination till 10th Feb","12,40,47,249"
"6","Cumulative Vaccination First Dose","6,93,03,414"
"7","Cumulative Vaccination Second Dose","5,34,84,601"
"8","Cumulative Precaution Dose","12,59,234"
"9","Number of CVC (Common Vaccination Centres)","4,730"
"10","Cumulative AEFI cases reported","6,846"
"11","Vaccine wastage","-7%"
