"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,150"
"2","Number of persons tested positive today in Tamil Nadu","507"
"3","Total Number of persons tested positive till date","34,48,088"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","66,366/ 
6,42,18,370@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","65,768/ 
6,30,46,052"
"6","No. of Male / Female / Transgender tested positive today","292/215/0"
"7","No. of Male / Female / Transgender tested positive till date","20,12,529/14,35,521/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,794/ 
34,01,938"
"10","Total number of deaths today/ till date","3(1 Private &  
2 Govt) /38,000"
