"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,078"
"2","Number of persons tested positive today in Tamil Nadu","775"
"3","Total Number of persons tested positive till date","27,17,978"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,635/ 
5,30,54,078@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,336/ 
5,21,24,888"
"6","No. of Male / Female / Transgender tested positive today","464/311/0"
"7","No. of Male / Female / Transgender tested positive till date","15,86,354/11,31,586/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","309 (69 Govt+ 
240 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","896/ 
26,72,564"
"10","Total number of deaths today/ till date","12(2 Private &  
10 Govt) /36,336)"
