"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,418"
"2","Number of persons tested positive today in Tamil Nadu","746"
"3","Total Number of persons tested positive till date","27,23,991"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,258/ 
5,38,67,315@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,03,005/ 
5,29,35,936"
"6","No. of Male / Female / Transgender tested positive today","449/297/0"
"7","No. of Male / Female / Transgender tested positive till date","15,89,891/11,34,062/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","310 (69 Govt+ 
241 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","759/ 
26,79,130"
"10","Total number of deaths today/ till date","11(2 Private &  
9 Govt) /36,443)"
