"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 01.11.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","34","",""
"","","2","Total Discharges","4026614","",""
"","","3","Today's Tests Conducted","5893","",""
"","","4","Total Tests Conducted","69420690","",""
"","","5","Today’s Positives","113","",""
"","","6","New Cases Reported (31.10.2022, 00:00 to 23:59)","103","",""
"","","7","Total Active Cases","2184","",""
"","","8","Today's Deaths Reported","0","",""
"","","9","Total Covid Deaths","40257","",""
"","","10","Total Positive Cases","4069097","",""
"","","11","Positivity Rate for the day (31.10.2022, 00:00 to 23:59)","1.91%","",""
"","","12","*Weekly Total Positivity Rate","2.39%","",""
"","","13","Case Fatality Rate (CFR) for the day (31.10.2022, 00:00 to 23:59)","0.00%","",""
"","","14","*Weekly Case Fatality Rate","0.34%","",""
"*From 26-10-2022 to 01-11-2022 
    
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
6090* 
1736173 
          * Date: 31-10 -2022 
 
Date: 01-11 -2022 
Page 1 of 6","","","","","",""
