"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23008","","5283","","28291",""
"2","Total Active Cases","17 
(0.07%)","","02 
(0.04%)","","19 
(0.07%)",""
"3","Total Cured/Discharged","22823 
(99.2%)","","5221 
(98.8%)","","28044 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","02","","04",""
"6","Total Positive cases in Home Isolation","14","","00","","14",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","96","","05","","101",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","93","","05","","98",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","91 
12 
09 
00 
112"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(12/06/2022)","","Test Done Today 
(13/06/2022)","","Cumulative"
"","","a)RTPCR","324180","","53","","324233"
"","","b)TRUENAT","14178","","04","","14182"
"","","c)RAT","349750","","44","","349794"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","689213","","101","","689314"
