"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","317","8","0","5","66"
"2","ALWAR","626","7","0","3","32"
"3","BANSWARA","78","0","0","0","0"
"4","BARAN","132","0","0","1","7"
"5","BARMER","54","0","0","0","0"
"6","BHARATPUR","33","1","0","1","1"
"7","BHILWARA","39","0","0","0","0"
"8","BIKANER","295","0","0","1","5"
"9","BUNDI","58","0","0","1","0"
"10","CHITTORGARH","82","0","0","0","6"
"11","CHURU","77","0","0","0","0"
"12","DAUSA","318","0","0","0","0"
"13","DHOLPUR","100","0","0","0","0"
"14","DUNGARPUR","3","0","0","0","4"
"15","GANGANAGAR","36","0","0","1","1"
"16","HANUMANGARH","147","0","0","0","1"
"17","JAIPUR","787","11","0","13","79"
"18","JAISALMER","7","0","0","0","0"
"19","JALORE","47","0","0","0","0"
"20","JHALAWAR","419","0","0","0","4"
"21","JHUNJHUNU","181","0","0","0","1"
"22","JODHPUR","178","6","0","5","33"
"23","KARAULI","147","0","0","0","0"
"24","KOTA","533","6","0","9","41"
"25","NAGAUR","219","2","0","0","4"
"26","PALI","209","2","0","0","10"
