"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,034"
"2","Number of persons tested positive today in Tamil Nadu","473"
"3","Total Number of persons tested positive till date","35,70,097"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,498/ 
6,89,63,214@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,333/ 
6,77,49,200"
"6","No. of Male / Female / Transgender tested positive today","280/193/0"
"7","No. of Male / Female / Transgender tested positive till date","20,81,973/14,88,086/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","495/ 
35,27,027"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,036"
