"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","14,033"
"2","Number of persons tested positive today in Tamil Nadu","788"
"3","Total Number of persons tested positive till date","34,45,717"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","70,379/ 
6,39,61,280@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","69,482/ 
6,27,91,708"
"6","No. of Male / Female / Transgender tested positive today","473/315/0"
"7","No. of Male / Female / Transgender tested positive till date","20,11,164/14,34,515/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,692/ 
33,93,703"
"10","Total number of deaths today/ till date","1(1 Private &  
0 Govt) /37,981"
