"S. No","Subject","Number"
"1","Total Number of people vaccinated on 13th Feb","3,66,395"
"2","First Dose on 13th Feb","29,073"
"3","Second Dose on 13th Feb","3,11,484"
"4","Precaution Dose on 13th Feb","25,838"
"5","Cumulative Vaccination till 13th Feb","12,54,49,001"
"6","Cumulative Vaccination First Dose","6,94,05,759"
"7","Cumulative Vaccination Second Dose","5,46,65,364"
"8","Cumulative Precaution Dose","13,77,878"
"9","Number of CVC (Common Vaccination Centres)","3,658"
"10","Cumulative AEFI cases reported","6,885"
"11","Vaccine wastage","-7%"
