"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1905752*","20896216*"
"2","Total No. of patients tested Positive","24565","785093"
"3","No. of patients discharged","24167","764441"
"4","Total Deaths reported","207","20512"
"5","Sample collected on 24th October 2022","","3938"
"6","Test conducted on 24th October 2022","","3880"
"7","Sample collected on 25th October 2022","","857"
"8","Test conducted on 25th October 2022","","879"
"9","Positive cases on 24th October 2022","","7"
"10","Positive cases on 25th October 2022","","4**"
"11","Number of active Cases","","140"
"12","No. of Patients on oxygen support","","3"
"13","Patients at critical care Level-3 facilities","","0"
"14","Patients who are critical and on ventilator support","","0"
"15","Healthcare Workers vaccinated with 1st dose on the day","","1"
"16","Total Healthcare Workers vaccinated with 1st dose","","218893"
"17","Frontline Workers vaccinated with 1st dose on the day","","0"
"18","Total Frontline Workers vaccinated with 1st dose","","1117953"
"19","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"20","Total Healthcare Workers vaccinated with 2nd dose","","211999"
"21","Frontline Workers vaccinated with 2nd dose on the day","","1"
"22","Total Frontline Workers vaccinated with 2nd dose","","1019348"
"23","Above 45 Vaccinated with 1st dose on the day","","0"
"24","Total Above 45 Vaccinated with 1st dose","","8347034"
"25","Above 45 Vaccinated with 2nd dose on the day","","10"
"26","Total Above 45 Vaccinated with 2nd dose","","7653738"
"27","18-44 years age group Vaccinated with 1st dose on the day","","0"
"28","Total 18-44 years age group Vaccinated with 1st dose","","12663008"
"29","18-44 years age group Vaccinated with 2nd dose on the day","","52"
"30","Total 18-44 years age group Vaccinated with 2nd dose","","10703252"
"31","15-17 years age group Vaccinated with 1st dose on the day","","0"
"32","Total 15-17 years age group Vaccinated with 1st dose","","1115221"
"33","15-17 years age group Vaccinated with 2nd dose on the day","","0"
"34","Total 15-17 years age group Vaccinated with 2nd dose","","865942"
"35","12-14 years age group Vaccinated with 1st dose on the day","","0"
"36","Total 12-14 years age group Vaccinated with 1st dose","","681830"
"37","12-14 years age group Vaccinated with 2nd dose on the day","","0"
"38","Total 12-14 years age group Vaccinated with 2nd dose","","492754"
"39","Precautionary dose given on the day","","89"
"40","Total Precautionary dose given","","1804968"
"41","Total Vaccination 1st dose on the day","","1"
"42","Total Vaccination 2nd dose on the day","","64"
"43","Total Vaccination 1st and 2nd dose on the day","","65"
