"S. No","Subject","Number"
"1","Total Number of people vaccinated on 3rd Mar","1,12,425"
"2","First Dose on 3rd Mar","8,782"
"3","Second Dose on 3rd Mar","96,526"
"4","Precaution Dose on 3rd Mar","7,117"
"5","Cumulative Vaccination till 3rd Mar","12,94,59,899"
"6","Cumulative Vaccination First Dose","6,97,00,146"
"7","Cumulative Vaccination Second Dose","5,81,30,665"
"8","Cumulative Precaution Dose","16,29,088"
"9","Number of CVC (Common Vaccination Centres)","2,816"
"10","Cumulative AEFI cases reported","6,958"
"11","Vaccine wastage","-7%"
