"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,912"
"2","Number of persons tested positive today in Tamil Nadu","1,355"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-2"
"","Passengers returned from other states  by Road tested 
positive today","Karnataka-1 
Maharashtra-1"
"","Total","1,359"
"3","Total Number of persons tested positive till date","34,65,490"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","25,896/ 
6,69,93,262@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","25,689/ 
6,58,14,406"
"6","No. of Male / Female / Transgender tested positive today","724/635/0"
"7","No. of Male / Female / Transgender tested positive till date","20,21,919/14,43,533/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","621/ 
34,21,552"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
