,Date,State,Input,Raw,Final,Filetype,myGovFlag
22,2022-02-05,JK,No,No,Yes,jpeg,Yes
76,2022-02-08,HP,No,No,Yes,jpeg,Yes
84,2022-02-08,PB,No,No,Yes,pdf,Yes
159,2022-02-11,LA,No,No,Yes,pdf,Yes
182,2022-02-12,LA,No,No,Yes,pdf,Yes
222,2022-02-14,PB,Yes,No,Yes,pdf,No
223,2022-02-14,RJ,Yes,No,Yes,pdf,No
245,2022-02-15,PB,Yes,No,Yes,pdf,No
268,2022-02-16,PB,Yes,No,Yes,pdf,No
274,2022-02-16,LA,No,No,Yes,pdf,Yes
314,2022-02-18,PB,No,No,Yes,pdf,Yes
329,2022-02-19,HP,No,No,Yes,jpeg,Yes
337,2022-02-19,PB,No,No,Yes,pdf,Yes
343,2022-02-19,LA,No,No,Yes,pdf,Yes
360,2022-02-20,PB,No,No,Yes,pdf,Yes
375,2022-02-21,HP,No,No,Yes,jpeg,Yes
383,2022-02-21,PB,No,No,Yes,pdf,Yes
389,2022-02-21,LA,No,No,Yes,pdf,Yes
406,2022-02-22,PB,No,No,Yes,pdf,Yes
412,2022-02-22,LA,No,No,Yes,pdf,Yes
