"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","19157","","3816","","22973",""
"2","Total Active Cases","552 
(2.9%)","","46 
(1.2%)","","598 
(2.6%)",""
"3","Total Cured/ Discharged","18441 
(96.3%)","","3712                                  
(97.3%)","","(96.4%)",""
"4","Total Died","164 
(0.86%)","","58 
(1.5%)","","222 
(0.97%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","00","","20",""
"6","Total Positive cases in Home Isolation","415","","46","","461",""
"7","COVID Care Centre","86","","0","","86",""
"8","Facility Isolation","31","","0","","31",""
"9","No. of Samples Tested (Today)","720","","487","","1207",""
"10","No. of Samples Positive (Today)","104","","20","","124",""
"11","No. of Samples Negative (Today)","613","","467","","1080",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","259 
          00 
      00 
          63 
          322"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(12/01/2022)","","Test Done Today 
(13/01/2022)","","Cumulative"
"","","a)  RTPCR","260645","","1115","","261760"
"","","b)  TRUENAT","11353","","08","","11361"
"","","c)  RAT","340879","","84","","340963"
"","","d)  CBNAAT","198","","00","","198"
"","","TOTAL","613075","","1207","","614282"
