"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1226222","20216685"
"2","Total No. of patients tested Positive","12969","773530"
"3","No. of patients discharged","9865","750140"
"4","Total Deaths reported","71","20377"
"5","Sample collected on the day","","13076"
"6","Test conducted on the day","","12106"
"7","Positive cases on the day","","439"
"8","Number of active Cases","","3013"
"9","No. of Patients on oxygen support","","90"
"10","Patients at critical care Level-3 facilities","","14"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218792"
"14","Frontline Workers vaccinated with 1st dose on the day","","11"
"15","Total Frontline Workers vaccinated with 1st dose","","1117703"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","34"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211501"
"18","Frontline Workers vaccinated with 2nd dose on the day","","73"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017473"
"20","Above 45 Vaccinated with 1st dose on the day","","249"
"21","Total Above 45 Vaccinated with 1st dose","","8337599"
"22","Above 45 Vaccinated with 2nd dose on the day","","2973"
"23","Total Above 45 Vaccinated with 2nd dose","","7586236"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1136"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12628052"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","6831"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10536343"
"28","15-17 years age group Vaccinated with 1st dose on the day","","325"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1102548"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1508"
"31","Total 15-17 years age group Vaccinated with 2nddose","","826131"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1131"
"33","Total 12-14 years age group Vaccinated with 1st dose","","641093"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1466"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","425967"
"36","Precautionary dose given on the day","","21565"
"37","Total Precautionary dose given","","1084581"
"38","Total Vaccination 1st dose on the day","","1399"
"39","Total Vaccination 2nd dose on the day","","9911"
"40","Total Vaccination 1st and 2nd dose on the day","","11310"
