"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23632","","5312","","28944",""
"2","Total Active Cases","76 
(0.32%)","","07 
(0.13%)","","83 
(0.29%)",""
"3","Total Cured/Discharged","23388 
(98.9%)","","5245 
(98.7%)","","28633 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","00","","16",""
"6","Total Positive cases in Home Isolation","46","","07","","53",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","14","","00","","14",""
"9","No. of Samples Tested (Today)","186","","187","","373",""
"10","No. of Samples Positive (Today)","16","","01","","17",""
"11","No. of Samples Negative (Today)","169","","186","","355",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","56 
55 
07 
00 
118"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(03/08/2022)","","Test Done Today 
(04/08/2022)","","Cumulative"
"","","a)RTPCR","332940","","205","","333145"
"","","b)TRUENAT","14678","","10","","14688"
"","","c)RAT","355872","","158","","356030"
"","","d)  CBNAAT","1176","","00","","1176"
"","","TOTAL","704966","","373","","705339"
