"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","576"
"2","Number of persons tested positive today in Tamil Nadu","52"
"3","Total Number of persons tested positive till date","34,52,442"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","31,568/ 
6,52,98,306@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","31,536/ 
6,41,22,021"
"6","No. of Male / Female / Transgender tested positive today","23/29/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,963/14,37,441/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","96/ 
34,13,841"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
