"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22732","","5271","","28003",""
"2","Total Active Cases","159 
(0.7%)","","07 
(0.13%)","","166 
(0.6%)",""
"3","Total Cured/ Discharged","22405 
(98.6%)","","5204                                  
(98.7%)","","(98.6%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","13","","0","","13",""
"6","Total Positive cases in Home Isolation","50","","07","","57",""
"7","COVID Care Centre","96","","00","","96",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","587","","101","","688",""
"10","No. of Samples Positive (Today)","11","","00","","11",""
"11","No. of Samples Negative (Today)","574","","101","","675",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","417 
        00 
        00 
        13 
       430"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(26/01/2022)","","Test Done Today 
(27/02/2022)","","Cumulative"
"","","a)  RTPCR","302726","","611","","303337"
"","","b)  TRUENAT","12261","","24","","12285"
"","","c)  RAT","346577","","53","","346630"
"","","d)  CBNAAT","820","","00","","820"
"","","TOTAL","662384","","688","","663072"
