"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1078","27","0","21","103"
"2","ALWAR","1074","25","0","0","171"
"3","BANSWARA","261","0","0","1","9"
"4","BARAN","511","0","0","0","5"
"5","BARMER","55","0","0","0","3"
"6","BHARATPUR","449","1","0","2","25"
"7","BHILWARA","506","8","0","11","52"
"8","BIKANER","814","13","0","3","35"
"9","BUNDI","157","0","0","0","8"
"10","CHITTORGARH","416","5","0","17","66"
"11","CHURU","244","0","0","0","2"
"12","DAUSA","800","28","0","0","85"
"13","DHOLPUR","450","2","0","0","5"
"14","DUNGARPUR","296","1","0","16","39"
"15","GANGANAGAR","373","0","0","2","1"
"16","HANUMANGARH","402","4","0","1","17"
"17","JAIPUR","2114","36","0","128","413"
"18","JAISALMER","46","0","0","1","5"
"19","JALORE","183","1","0","3","5"
"20","JHALAWAR","524","1","0","3","24"
"21","JHUNJHUNU","715","6","0","0","15"
"22","JODHPUR","609","27","0","26","170"
"23","KARAULI","713","0","0","6","2"
"24","KOTA","1108","14","0","7","41"
"25","NAGAUR","476","4","0","0","61"
"26","PALI","721","18","0","1","67"
