"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","727328","19716198"
"2","Total No. of patients tested Positive","1833","760907"
"3","No. of patients discharged","1523","742773"
"4","Total Deaths reported","10","17756"
"5","Sample collected on the day","","7310"
"6","Test conducted on the day","","7128"
"7","Positive cases on the day","","74"
"8","Number of active Cases","","378"
"9","No. of Patients on oxygen support","","17"
"10","Patients at critical care Level-3 facilities","","4"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218649"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117406"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","70"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210445"
"18","Frontline Workers vaccinated with 2nd dose on the day","","68"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013309"
"20","Above 45 Vaccinated with 1st dose on the day","","441"
"21","Total Above 45 Vaccinated with 1st dose","","8320739"
"22","Above 45 Vaccinated with 2nd dose on the day","","5660"
"23","Total Above 45 Vaccinated with 2nd dose","","7359685"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1564"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12576631"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","12053"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10061574"
"28","15-17 years age group Vaccinated with 1st dose on the day","","310"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1081470"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1316"
"31","Total 15-17 years age group Vaccinated with 2nddose","","736548"
"32","12-14 years age group Vaccinated with 1st dose on the day","","460"
"33","Total 12-14 years age group Vaccinated with 1st dose","","588160"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1910"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","311086"
"36","Precautionary dose given on the day","","3568"
"37","Total Precautionary dose given","","690485"
"38","Total Vaccination 1st dose on the day","","2012"
"39","Total Vaccination 2nd dose on the day","","17851"
"40","Total Vaccination 1st and 2nd dose on the day","","19863"
