"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18407","","3733","","22140",""
"2","Total Active Cases","159 
(0.86%)","","55 
(1.47%)","","214 
(0.97%)",""
"3","Total Cured/ Discharged","18087 
(98.3%)","","3620                                  
(97%)","","(98%)",""
"4","Total Died","161 
(0.87%)","","58 
(1.6%)","","219 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","00","","21",""
"6","Total Positive cases in Home Isolation","84","","55","","139",""
"7","COVID Care Centre","33","","0","","33",""
"8","Facility Isolation","21","","0","","21",""
"9","No. of Samples Tested (Today)","620","","512","","1132",""
"10","No. of Samples Positive (Today)","32","","03","","35",""
"11","No. of Samples Negative (Today)","583","","509","","1092",""
"12","Repeat Positive/ Resampling (Today)","05","","00","","05",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","448 
           00 
       00 
            09 
          457"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(27/12/2021)","","Test Done Today 
(28/12/2021)","","Cumulative"
"","","a)  RTPCR","250529","","949","","251478"
"","","b)  TRUENAT","11228","","05","","11233"
"","","c)  RAT","338040","","178","","338218"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","599969","","1132","","601101"
