"S. No","Subject","Number"
"1","Total Number of people vaccinated on 6th Mar","99,015"
"2","First Dose on 6th Mar","7,535"
"3","Second Dose on 6th Mar","85,547"
"4","Precaution Dose on 6th Mar","5,933"
"5","Cumulative Vaccination till 6th Mar","12,99,26,561"
"6","Cumulative Vaccination First Dose","6,97,36,495"
"7","Cumulative Vaccination Second Dose","5,85,36,364"
"8","Cumulative Precaution Dose","16,53,702"
"9","Number of CVC (Common Vaccination Centres)","2,431"
"10","Cumulative AEFI cases reported","6,966"
"11","Vaccine wastage","-7%"
