"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,707"
"2","Number of persons tested positive today in Tamil Nadu","342"
"3","Total Number of persons tested positive till date","35,86,926"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,343/ 
6,95,43,373@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,183/ 
6,83,23,644"
"6","No. of Male / Female / Transgender tested positive today","202/140/0"
"7","No. of Male / Female / Transgender tested positive till date","20,91,457/14,95,431/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","480/ 
35,44,171"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,048"
