"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","926462","19915340"
"2","Total No. of patients tested Positive","4482","763523"
"3","No. of patients discharged","3396","744646"
"4","Total Deaths reported","34","17780"
"5","Sample collected on the day","","5690"
"6","Test conducted on the day","","5342"
"7","Positive cases on the day","","121"
"8","Number of active Cases","","1097"
"9","No. of Patients on oxygen support","","30"
"10","Patients at critical care Level-3 facilities","","12"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218708"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117530"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","18"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210882"
"18","Frontline Workers vaccinated with 2nd dose on the day","","74"
"19","Total Frontline Workers vaccinated with 2nd dose","","1014917"
"20","Above 45 Vaccinated with 1st dose on the day","","234"
"21","Total Above 45 Vaccinated with 1st dose","","8328286"
"22","Above 45 Vaccinated with 2nd dose on the day","","5408"
"23","Total Above 45 Vaccinated with 2nd dose","","7483351"
"24","18-44 years age group Vaccinated with 1st dose on the day","","734"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12598273"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","11927"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10305431"
"28","15-17 years age group Vaccinated with 1st dose on the day","","662"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1088868"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2264"
"31","Total 15-17 years age group Vaccinated with 2nddose","","772411"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1107"
"33","Total 12-14 years age group Vaccinated with 1st dose","","598883"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2434"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","345087"
"36","Precautionary dose given on the day","","2758"
"37","Total Precautionary dose given","","751689"
"38","Total Vaccination 1st dose on the day","","977"
"39","Total Vaccination 2nd dose on the day","","17427"
"40","Total Vaccination 1st and 2nd dose on the day","","18404"
