"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","7430","4163","57533"
"Kollam","2882","3080","12413"
"Pathanamthitta","2012","709","9007"
"Alappuzha","2168","567","10389"
"Kottayam","3053","1021","16209"
"Idukki","1637","465","8599"
"Ernakulam","8143","3324","38679"
"Thrissur","5120","3041","23913"
"Palakkad","2607","687","13258"
"Malappuram","2431","720","13009"
"Kozhikode","4385","1567","24169"
"Wayanad","972","824","4699"
"Kannur","1673","1003","11234"
"Kasaragod","623","153","4116"
"Total","45136","21324","247227"
