"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18057","","3657","","21714",""
"2","Total Active Cases","272 
(1.51%)","","23 
(0.6%)","","295 
(1.36%)",""
"3","Total Cured/ Discharged","17628 
(97.6%)","","3576                                  
(97.8%)","","(97.7%)",""
"4","Total Died","157 
(0.87%)","","58 
(1.6%)","","215 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","00","","18",""
"6","Total Positive cases in Home Isolation","216","","23","","239",""
"7","COVID Care Centre","20","","0","","20",""
"8","Facility Isolation","18","","0","","18",""
"9","No. of Samples Tested (Today)","542","","602","","1144",""
"10","No. of Samples Positive (Today)","29","","02","","31",""
"11","No. of Samples Negative (Today)","513","","600","","1113",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","227 
           00 
       00 
           20 
          247"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(04/12/2021)","","Test Done Today 
(05/12/2021)","","Cumulative"
"","","a)  RTPCR","235347","","1072","","236419"
"","","b)  TRUENAT","11084","","06","","11090"
"","","c)  RAT","333605","","66","","333671"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","580208","","1144","","581352"
