"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,794"
"2","Number of persons tested positive today in Tamil Nadu","447"
"3","Total Number of persons tested positive till date","35,75,380"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,503/ 
6,91,76,269@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,357/ 
6,79,60,415"
"6","No. of Male / Female / Transgender tested positive today","248/199/0"
"7","No. of Male / Female / Transgender tested positive till date","20,85,038/14,90,304/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","438/ 
35,32,547"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,038"
