"Total No. of Sample Taken Today","14219"
"Total No. of Positive Cases Detected Today","341"
"Total Active COVID-19 Patients","1917"
"Total No. of Active Cases under Home Isolation (09-07-2022)","1848"
"Total No. of Samples found Positive till date","1019436"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1006868"
"No. of Deaths","10628"
"Total No. of People Vaccinated Today","24248 
(1st Dose: 1276 
2nd Dose: 6145 
Precaution Dose: 16827"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23583389 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 15yrs above population)","19514707 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1111543"
"Cumulative Coverage of Total COVID-19 Vaccination","44209639"
"COVID-19 Today (09-07-2022) Positivity Rate","2.54%"
"Recovery Rate","98.77%"
"Fatality Rate","1.04%"
