"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227082","221198","5879","5"
"12","Nashik","472936","463995","8911","30"
"13","Ahmednagar","377750","370498","7242","10"
"14","Jalgaon","149542","146775","2761","6"
"15","Nandurbar","46616","45654","962","0"
"16","Dhule","50758","50088","670","0"
"17","Aurangabad","176560","172270","4284","6"
"18","Jalna","66332","65108","1224","0"
"19","Beed","109216","106330","2885","1"
"20","Latur","104922","102428","2489","5"
"21","Parbhani","58574","57293","1279","2"
"22","Hingoli","22178","21662","514","2"
"23","Nanded","102675","99969","2704","2"
"24","Osmanabad","75165","73024","2139","2"
"25","Amravati","105969","104340","1624","5"
"26","Akola","66184","64713","1470","1"
"27","Washim","45649","45000","641","8"
"28","Buldhana","92022","91186","836","0"
"29","Yavatmal","81983","80162","1820","1"
"30","Nagpur","576493","567246","9215","32"
"31","Wardha","65679","64268","1408","3"
"32","Bhandara","67948","66803","1142","3"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98854","97247","1592","15"
