"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22990","","5281","","28271",""
"2","Total Active Cases","08 
(0.03%)","","00 
(0%)","","08 
(0.03%)",""
"3","Total Cured/Discharged","22814 
(99.2%)","","5221 
(98.9%)","","28035 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","04","","00","","04",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","146","","64","","210",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","143","","64","","207",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","63 
30 
20 
14 
127"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(02/06/2022)","","Test Done Today 
(03/06/2022)","","Cumulative"
"","","a)RTPCR","322947","","146","","323093"
"","","b)TRUENAT","14066","","15","","14081"
"","","c)RAT","349432","","49","","349481"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","687550","","210","","687760"
