"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18559","","3762","","22321",""
"2","Total Active Cases","205 
(1.1%)","","60 
(1.6%)","","265 
(1.2%)",""
"3","Total Cured/ Discharged","18192 
(98.0%)","","3644                                  
(96.9%)","","(97.8%)",""
"4","Total Died","162 
(0.87%)","","58 
(1.5%)","","220 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","13","","00","","13",""
"6","Total Positive cases in Home Isolation","129","","60","","189",""
"7","COVID Care Centre","47","","0","","47",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","551","","267","","818",""
"10","No. of Samples Positive (Today)","23","","09","","32",""
"11","No. of Samples Negative (Today)","527","","258","","785",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","118 
           52 
       00 
            80 
          250"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(03/01/2022)","","Test Done Today 
(04/01/2022)","","Cumulative"
"","","a)  RTPCR","255902","","642","","256544"
"","","b)  TRUENAT","11264","","13","","11277"
"","","c)  RAT","339091","","163","","339254"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","606429","","818","","607247"
