"State","StatePop"
"AN",397000
"AP",52221000
"AR",1504000
"AS",34293000
"BR",119520000
"CH",1179000
"CT",28724000
"DL",19814000
"DN",959000
"GA",1540000
"GJ",67936000
"HP",7300000
"HR",28672000
"JH",37403000
"JK",13203000
"KA",65798000
"KL",35125000
"LA",293000
"LD",68000
"MH",122153000
"ML",3224000
"MN",3103000
"MP",82232000
"MZ",1192000
"NL",2150000
"OR",43671000
"PB",29859000
"PY",1504000
"RJ",77264000
"SK",664000
"TG",37220000
"TN",75695000
"TR",3992000
"TT",1332900000
"UP",224979000
"UK",11141000
"WB",96906000
