"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","98","109875","75","107564","1","2280","31"
"2","SAS Nagar","137","95828","90","94623","0","1148","57"
"3","Jalandhar","73","78347","58","76758","0","1578","11"
"4","Patiala","110","62144","44","60616","0","1458","70"
"5","Amritsar","30","59425","22","57730","0","1682","13"
"6","Bathinda","25","50895","17","49795","0","1088","12"
"7","Hoshiarpur","47","40885","51","39783","0","1096","6"
"8","Gurdaspur","10","26949","10","26083","1","865","1"
"9","Pathankot","26","24562","27","24060","0","495","7"
"10","Fazilka","11","23409","22","22861","0","545","3"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","21","22054","16","21468","1","583","3"
"13","Ropar","7","17945","5","17488","0","455","2"
"14","Ferozepur","7","17906","8","17368","0","537","1"
"15","Mansa","4","17232","2","16838","0","392","2"
"16","Faridkot","16","16802","19","16460","0","338","4"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","15","13417","18","13006","0","409","2"
"19","FG Sahib","7","11841","7","11487","0","354","0"
"20","Moga","2","10990","3","10734","1","255","1"
"21","Tarn Taran","2","10901","1","10506","0","394","1"
"22","Barnala","5","7503","8","7151","0","349","3"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","659","759745","514","741764","4","17751","230"
