"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","309987","19298848"
"2","Total No. of patients tested Positive","659","759745"
"3","No. of patients discharged","514","741764"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","6269"
"6","Test conducted on the day","","10205"
"7","Positive cases on the day","","72"
"8","Number of active Cases","","230"
"9","No. of Patients on oxygen support","","6"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218558"
"14","Frontline Workers vaccinated with 1st dose on the day","","11"
"15","Total Frontline Workers vaccinated with 1st dose","","1117047"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","39"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209540"
"18","Frontline Workers vaccinated with 2nd dose on the day","","141"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010162"
"20","Above 45 Vaccinated with 1st dose on the day","","533"
"21","Total Above 45 Vaccinated with 1st dose","","8280988"
"22","Above 45 Vaccinated with 2nd dose on the day","","10429"
"23","Total Above 45 Vaccinated with 2nd dose","","6999164"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1807"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12466896"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","22733"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9336289"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1746"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1034579"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3619"
"31","Total 15-17 years age group Vaccinated with 2nddose","","608154"
"32","12-14 years age group Vaccinated with 1st dose on the day","","4025"
"33","Total 12-14 years age group Vaccinated with 1st dose","","458698"
"34","12-14 years age group Vaccinated with 2nddose on the day","","5913"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","117239"
"36","Precautionary dose given on the day","","3863"
"37","Total Precautionary dose given","","553373"
"38","Total Vaccination 1st dose on the day","","2354"
"39","Total Vaccination 2nd dose on the day","","33342"
"40","Total Vaccination 1st and 2nd dose on the day","","35696"
