"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total
Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","79","109856","67","107556","1","2280","20"
"2","SAS Nagar","92","95783","54","94587","0","1148","48"
"3","Jalandhar","64","78339","39","76739","0","1578","22"
"4","Patiala","39","62076","26","60598","0","1458","20"
"5","Amritsar","18","59413","14","57722","0","1682","9"
"6","Bathinda","18","50888","14","49792","0","1088","8"
"7","Hoshiarpur","46","40884","46","39778","0","1096","10"
"8","Gurdaspur","10","26949","10","26083","1","865","1"
"9","Pathankot","21","24557","20","24053","0","495","9"
"10","Fazilka","8","23406","16","22855","0","545","6"
"11","Muktsar","6","22560","9","22019","0","539","2"
"12","Kapurthala","21","22054","13","21465","1","580","9"
"13","Ropar","5","17943","3","17486","0","455","2"
"14","Ferozepur","7","17906","8","17368","0","537","1"
"15","Mansa","3","17231","1","16837","0","392","2"
"16","Faridkot","15","16801","16","16457","0","338","6"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","13","13415","14","13002","0","409","4"
"19","FG Sahib","7","11841","5","11485","0","354","2"
"20","Moga","1","10988","2","10733","1","255","0"
"21","Tarn Taran","1","10900","1","10506","0","394","0"
"22","Barnala","2","7500","8","7151","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","476","759565","386","741636","4","17748","181"
