"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","264983","19253843"
"2","Total No. of patients tested Positive","476","759565"
"3","No. of patients discharged","386","741636"
"4","Total Deaths reported","4","17748"
"5","Sample collected on the day","","10948"
"6","Test conducted on the day","","10866"
"7","Positive cases on the day","","29"
"8","Number of active Cases","","181"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","9"
"13","Total Healthcare Workers vaccinated with 1st dose","","218548"
"14","Frontline Workers vaccinated with 1st dose on the day","","8"
"15","Total Frontline Workers vaccinated with 1st dose","","1117011"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","40"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209414"
"18","Frontline Workers vaccinated with 2nd dose on the day","","126"
"19","Total Frontline Workers vaccinated with 2nd dose","","1009668"
"20","Above 45 Vaccinated with 1st dose on the day","","571"
"21","Total Above 45 Vaccinated with 1st dose","","8279216"
"22","Above 45 Vaccinated with 2nd dose on the day","","9356"
"23","Total Above 45 Vaccinated with 2nd dose","","6967003"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2040"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12460967"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","20861"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9264398"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2532"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1026181"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4720"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","591583"
"32","12-14 years age group Vaccinated with 1st dose on the day","","8617"
"33","Total 12-14 years age group Vaccinated with 1st dose","","434363"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","10302"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","87042"
"36","Precautionary dose given on the day","","4766"
"37","Total Precautionary dose given","","537972"
"38","Total Vaccination 1st dose on the day","","2628"
"39","Total Vaccination 2nd dose on the day","","30383"
"40","Total Vaccination 1st and 2nd dose on the day","","33011"
