"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","18,710"
"2","Number of persons tested positive today in Tamil Nadu","2,280"
"3","Total Number of persons tested positive till date","35,06,257"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","26,983/ 
6,75,25,116@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","26,192/ 
6,63,36,938"
"6","No. of Male / Female / Transgender tested positive today","1,334/946/0"
"7","No. of Male / Female / Transgender tested positive till date","20,44,465/14,61,754/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,372/ 
34,49,519"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,028"
