"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1354231","20344694"
"2","Total No. of patients tested Positive","18046","778606"
"3","No. of patients discharged","15224","755499"
"4","Total Deaths reported","107","20412"
"5","Sample collected on the day","","11631"
"6","Test conducted on the day","","11392"
"7","Positive cases on the day","","414"
"8","Number of active Cases","","2695"
"9","No. of Patients on oxygen support","","99"
"10","Patients at critical care Level-3 facilities","","25"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218829"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117788"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","12"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211638"
"18","Frontline Workers vaccinated with 2nd dose on the day","","29"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017989"
"20","Above 45 Vaccinated with 1st dose on the day","","88"
"21","Total Above 45 Vaccinated with 1st dose","","8339646"
"22","Above 45 Vaccinated with 2nd dose on the day","","1339"
"23","Total Above 45 Vaccinated with 2nd dose","","7611969"
"24","18-44 years age group Vaccinated with 1st dose on the day","","407"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12637261"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2390"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10593348"
"28","15-17 years age group Vaccinated with 1st dose on the day","","53"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1105592"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","248"
"31","Total 15-17 years age group Vaccinated with 2nddose","","836161"
"32","12-14 years age group Vaccinated with 1st dose on the day","","262"
"33","Total 12-14 years age group Vaccinated with 1st dose","","652185"
"34","12-14 years age group Vaccinated with 2nddose on the day","","207"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","440184"
"36","Precautionary dose given on the day","","7709"
"37","Total Precautionary dose given","","1278960"
"38","Total Vaccination 1st dose on the day","","505"
"39","Total Vaccination 2nd dose on the day","","3770"
"40","Total Vaccination 1st and 2nd dose on the day","","4275"
